name,id,type,subtype,ablty_one,ablty_two,ablty_three,base_exp,weight,height,hp,attack,defense,spec_attack,spec_defense,speed,offset
cascoon,268,bug,,shed-skin,,,72,115,7,50,35,55,25,25,15,5904697
orbeetle,826,bug,psychic,swarm,frisk,telepathy,253,408,4,60,45,110,80,120,90,5137459
cacnea,331,grass,,sand-veil,water-absorb,,67,513,4,50,85,40,85,40,35,3418039
vespiquen,416,bug,flying,pressure,unnerve,,166,385,12,70,80,102,80,102,40,5510628
purrloin,509,dark,,limber,unburden,prankster,56,101,4,41,50,37,50,37,66,315907
victini,494,psychic,fire,victory-star,,,300,40,4,100,100,100,100,100,100,4738300
maractus,556,grass,,water-absorb,chlorophyll,storm-drain,161,280,10,75,86,67,106,67,60,5622118
exeggcute,102,grass,psychic,chlorophyll,harvest,,65,25,4,60,40,80,60,45,40,4416668
crabominable,740,fighting,ice,hyper-cutter,iron-fist,anger-point,167,1800,17,97,132,77,62,67,43,340016
arbok,24,poison,,intimidate,shed-skin,unnerve,157,650,35,60,95,69,65,79,80,6374158
mareep,179,electric,,static,plus,,56,78,6,55,40,40,65,45,35,1596866
noivern,715,flying,dragon,frisk,infiltrator,telepathy,187,850,15,85,70,80,97,80,123,5027609
drowzee,96,psychic,,insomnia,forewarn,inner-focus,66,324,10,60,48,45,43,90,42,1438108
emboar,500,fire,fighting,blaze,reckless,,238,1500,16,110,123,65,100,65,65,781169
gumshoos,735,normal,,stakeout,strong-jaw,adaptability,146,142,7,88,110,60,55,60,45,2351435
wishiwashi,,,,,,,,,,,,,,,,4251460
cosmog,789,psychic,,unaware,,,40,1,2,43,29,31,29,31,37,1572992
phantump,708,ghost,grass,natural-cure,frisk,harvest,62,70,4,43,70,48,50,60,38,3727352
bellsprout,69,grass,poison,chlorophyll,gluttony,,60,40,7,50,75,35,70,30,40,3416027
musharna,518,psychic,,forewarn,synchronize,telepathy,170,605,11,116,55,85,107,95,29,2313649
tentacruel,73,water,poison,clear-body,liquid-ooze,rain-dish,180,550,16,80,70,65,80,120,100,1630607
lombre,271,water,grass,swift-swim,rain-dish,own-tempo,119,325,12,60,50,50,60,70,50,997426
octillery,224,water,,suction-cups,sniper,moody,168,285,9,75,105,75,105,75,45,2749189
golurk,623,ground,ghost,iron-fist,klutz,no-guard,169,3300,28,89,124,80,55,80,55,4131843
hydreigon,635,dark,dragon,levitate,,,300,1600,18,92,105,90,125,90,98,3302400
shroomish,285,grass,,effect-spore,poison-heal,quick-feet,59,45,4,60,40,60,40,60,35,1683865
seaking,119,water,,swift-swim,water-veil,lightning-rod,158,390,13,80,92,65,65,80,68,5229695
milotic,350,water,,marvel-scale,competitive,cute-charm,189,1620,62,95,60,79,100,125,81,1417082
munchlax,446,normal,,pickup,thick-fat,gluttony,78,1050,6,135,85,40,40,85,5,4684559
dedenne,702,electric,fairy,cheek-pouch,pickup,plus,151,22,2,67,58,57,81,67,101,1470966
wurmple,265,bug,,shield-dust,run-away,,56,36,3,45,45,35,20,30,20,2769340
espeon,196,psychic,,synchronize,magic-bounce,,184,265,9,65,65,60,130,95,110,1933237
trubbish,568,poison,,stench,sticky-hold,aftermath,66,310,6,50,50,62,40,62,65,5392731
skorupi,451,poison,bug,battle-armor,sniper,keen-eye,66,120,8,40,50,90,30,55,65,6109617
marowak,105,ground,,rock-head,lightning-rod,battle-armor,149,450,10,60,80,110,50,80,45,2101547
oranguru,765,normal,psychic,inner-focus,telepathy,symbiosis,172,760,15,90,60,80,90,110,60,4600297
greninja,658,water,dark,torrent,protean,,239,400,15,72,95,67,103,71,122,5314593
pyukumuku,771,water,,innards-out,unaware,,144,12,3,55,60,130,30,130,5,940273
rhydon,112,ground,rock,lightning-rod,rock-head,reckless,170,1200,19,105,130,120,45,45,40,5147446
zapdos,145,electric,flying,pressure,static,,290,526,16,90,90,85,125,90,100,283206
inteleon,818,water,,torrent,sniper,,265,452,19,70,85,65,125,65,120,4434016
eldegoss,830,grass,,cotton-down,regenerator,effect-spore,161,25,5,60,50,90,80,120,60,4228352
elekid,239,electric,,static,vital-spirit,,72,235,6,45,63,37,65,55,95,1914086
blacephalon,806,fire,ghost,beast-boost,,,285,130,18,53,127,53,151,79,107,6076786
finneon,456,water,,swift-swim,storm-drain,water-veil,66,70,4,49,49,56,49,61,66,1408824
trumbeak,732,normal,flying,keen-eye,skill-link,pickup,124,148,6,55,85,50,40,50,75,1395181
vanillish,583,ice,,ice-body,snow-cloak,weak-armor,138,410,11,51,65,65,80,75,59,1061294
treecko,252,grass,,overgrow,unburden,,62,50,5,40,45,35,65,55,70,501659
panpour,515,water,,gluttony,torrent,,63,135,6,50,53,48,53,48,64,1265011
cloyster,91,water,ice,shell-armor,skill-link,overcoat,184,1325,15,50,95,180,85,45,70,728274
latios,381,dragon,psychic,levitate,,,300,600,20,80,90,80,130,110,110,2187802
drifblim,426,ghost,flying,aftermath,unburden,flare-boost,174,150,12,150,80,44,90,54,80,892455
medicham,308,fighting,psychic,pure-power,telepathy,,144,315,13,60,60,75,60,75,80,3389104
fomantis,753,grass,,leaf-guard,contrary,,50,15,3,40,55,35,50,35,35,1852823
hawlucha,701,fighting,flying,limber,unburden,mold-breaker,175,215,8,78,92,75,74,63,118,5478653
abra,63,psychic,,synchronize,inner-focus,magic-guard,62,195,9,25,20,15,105,55,90,2692936
machop,66,fighting,,guts,no-guard,steadfast,61,195,8,70,80,50,35,35,35,5839341
kangaskhan,115,normal,,early-bird,scrappy,inner-focus,172,800,22,105,95,80,40,80,90,1584407
pachirisu,417,electric,,run-away,pickup,volt-absorb,142,39,4,60,45,70,45,90,95,5583050
spewpa,665,bug,,shed-skin,friend-guard,,75,84,3,45,22,60,27,30,29,1387566
staravia,397,normal,flying,intimidate,reckless,,119,155,6,55,75,50,40,40,80,2550303
elgyem,605,psychic,,telepathy,synchronize,analytic,67,90,5,55,55,55,85,55,30,1951514
froslass,478,ice,ghost,snow-cloak,cursed-body,,168,266,13,70,80,70,80,70,110,4240361
ariados,168,bug,poison,swarm,insomnia,sniper,140,335,11,70,90,70,60,70,40,5908829
morpeko,,,,,,,,,,,,,,,,3377855
wailmer,320,water,,water-veil,oblivious,pressure,80,1300,20,130,70,35,70,35,60,973441
keldeo,,,,,,,,,,,,,,,,6137680
salamence,373,dragon,flying,intimidate,moxie,,300,1026,15,95,135,80,110,80,100,4761383
lickitung,108,normal,,own-tempo,oblivious,cloud-nine,77,655,12,90,55,75,60,75,30,3265004
magby,240,fire,,flame-body,vital-spirit,,73,214,7,45,75,37,70,55,83,4128322
swellow,277,normal,flying,guts,scrappy,,159,198,7,60,85,60,75,50,125,251624
probopass,476,rock,steel,sturdy,magnet-pull,sand-force,184,3400,14,60,55,145,75,150,40,5872015
shinx,403,electric,,rivalry,intimidate,guts,53,95,5,45,65,34,40,34,45,3713655
diggersby,660,normal,ground,pickup,cheek-pouch,huge-power,148,424,10,85,56,77,50,77,78,5431280
wooloo,831,normal,,fluffy,run-away,bulletproof,122,60,6,42,40,55,40,45,48,2688504
charjabug,737,bug,electric,battery,,,140,105,5,57,82,95,55,75,36,2560768
rillaboom,812,grass,,overgrow,grassy-surge,,265,900,21,100,125,90,60,70,85,4321624
shiftry,275,grass,dark,chlorophyll,early-bird,pickpocket,240,596,13,90,100,60,90,60,80,3553269
spinarak,167,bug,poison,swarm,insomnia,sniper,50,85,5,40,60,40,40,40,30,2468964
beedrill,15,bug,poison,swarm,sniper,,178,295,10,65,90,40,45,80,75,3381694
froakie,656,water,,torrent,protean,,63,70,3,41,56,40,62,44,71,6196364
luxio,404,electric,,rivalry,intimidate,guts,127,305,9,60,85,49,60,49,60,967771
gallade,475,psychic,fighting,steadfast,sharpness,justified,259,520,16,68,125,65,65,115,80,4886683
landorus,,,,,,,,,,,,,,,,812704
vibrava,329,ground,dragon,levitate,,,119,153,11,50,70,50,50,50,70,442359
litwick,607,ghost,fire,flash-fire,flame-body,infiltrator,55,31,3,50,30,55,65,55,20,5750029
magnemite,81,electric,steel,magnet-pull,sturdy,analytic,65,60,3,25,35,70,95,55,45,1948771
ducklett,580,water,flying,keen-eye,big-pecks,hydration,61,55,5,62,44,50,44,50,55,1058263
geodude,74,rock,ground,rock-head,sturdy,sand-veil,60,200,4,40,80,100,30,30,20,2759880
seadra,117,water,,poison-point,sniper,damp,154,250,12,55,65,95,95,45,85,4000717
alcremie,869,fairy,,sweet-veil,aroma-veil,,173,5,3,65,60,75,110,121,64,5529524
pansear,513,fire,,gluttony,blaze,,63,110,6,50,53,48,53,48,64,3321760
castform,351,normal,,forecast,,,147,8,3,70,70,70,70,70,70,3314918
snover,459,grass,ice,snow-warning,soundproof,,67,505,10,60,62,50,62,60,40,5213605
hitmontop,237,fighting,,intimidate,technician,steadfast,159,480,14,50,95,95,35,110,70,4923053
aerodactyl,142,rock,flying,rock-head,pressure,unnerve,180,590,18,80,105,65,60,75,130,2199737
alakazam,65,psychic,,synchronize,inner-focus,magic-guard,250,480,15,55,50,45,135,95,120,1299573
stonjourner,874,rock,,power-spot,,,165,5200,25,100,125,135,20,20,70,2933208
shiinotic,756,grass,fairy,illuminate,effect-spore,rain-dish,142,115,10,60,45,80,90,100,30,5204830
linoone,264,normal,,pickup,gluttony,quick-feet,147,325,5,78,70,61,50,61,100,5549106
slaking,289,normal,,truant,,,252,1305,20,150,160,100,95,65,100,3530581
barboach,339,water,ground,oblivious,anticipation,hydration,58,19,4,50,48,43,46,41,60,1859921
mienshao,620,fighting,,inner-focus,regenerator,reckless,179,355,14,65,125,60,95,60,105,2294232
whismur,293,normal,,soundproof,rattled,,48,163,6,64,51,23,51,23,28,6055225
dhelmise,781,ghost,grass,steelworker,,,181,2100,39,70,131,100,86,90,40,4377034
silicobra,843,ground,,sand-spit,shed-skin,sand-veil,63,76,22,52,57,75,35,50,46,5367033
bronzong,437,steel,psychic,levitate,heatproof,heavy-metal,175,1870,13,67,89,116,79,116,33,752000
jynx,124,ice,psychic,oblivious,forewarn,dry-skin,159,406,14,65,50,35,115,95,95,6114537
shelgon,372,dragon,,rock-head,overcoat,,147,1105,11,65,95,100,60,50,50,617282
sawsbuck,586,normal,grass,chlorophyll,sap-sipper,serene-grace,166,925,19,80,100,70,60,70,95,5745230
lillipup,506,normal,,vital-spirit,pickup,run-away,55,41,4,45,60,45,25,45,55,5786517
primarina,730,water,fairy,torrent,liquid-voice,,265,440,18,80,74,74,126,116,60,1285129
basculegion,,,,,,,,,,,,,,,,376609
cherubi,420,grass,,chlorophyll,,,55,33,4,45,35,45,62,53,35,4932818
morelull,755,grass,fairy,illuminate,effect-spore,rain-dish,57,15,2,40,35,55,65,75,15,1321784
eelektross,604,electric,,levitate,,,232,805,21,85,115,80,105,80,50,6268634
sceptile,254,grass,,overgrow,unburden,,265,522,17,70,85,65,105,85,120,413882
foongus,590,grass,poison,effect-spore,regenerator,,59,10,2,69,55,45,55,55,15,3375293
lurantis,754,grass,,leaf-guard,contrary,,168,185,9,70,105,90,80,90,45,3933072
impidimp,859,dark,fairy,prankster,frisk,pickpocket,53,55,4,45,45,30,55,40,50,6068986
torchic,255,fire,,blaze,speed-boost,,62,25,4,45,60,40,70,50,45,4248815
poliwhirl,61,water,,water-absorb,damp,swift-swim,135,200,10,65,65,65,50,50,90,2790957
togedemaru,777,electric,steel,iron-barbs,lightning-rod,sturdy,152,33,3,65,98,63,40,73,96,6363510
bibarel,400,normal,water,simple,unaware,moody,144,315,10,79,85,60,55,60,71,1064792
happiny,440,normal,,natural-cure,serene-grace,friend-guard,110,244,6,100,5,5,15,65,30,6399741
yungoos,734,normal,,stakeout,strong-jaw,adaptability,51,60,4,48,70,30,30,30,45,4535584
bruxish,779,water,psychic,dazzling,strong-jaw,wonder-skin,166,190,9,68,105,70,70,70,92,1312630
sneasel,215,dark,ice,inner-focus,keen-eye,pickpocket,86,280,9,55,95,55,35,75,115,2569811
beheeyem,606,psychic,,telepathy,synchronize,analytic,170,345,10,75,75,75,125,95,40,5444645
kyogre,382,water,,drizzle,,,335,3520,45,100,100,90,150,140,90,6096635
arceus,493,normal,,multitype,,,324,3200,32,120,120,120,120,120,120,4855204
golisopod,768,bug,water,emergency-exit,,,186,1080,20,75,125,140,60,90,40,3079065
squirtle,7,water,,torrent,rain-dish,,63,90,5,44,48,65,50,64,43,2304083
alomomola,594,water,,healer,hydration,regenerator,165,316,12,165,75,80,40,45,65,3055608
taillow,276,normal,flying,guts,scrappy,,54,23,3,40,55,30,30,30,85,1975544
pancham,674,fighting,,iron-fist,mold-breaker,scrappy,70,80,6,67,82,62,46,48,43,5441787
budew,406,grass,poison,natural-cure,poison-point,leaf-guard,56,12,2,40,30,35,50,70,55,1801136
bastiodon,411,rock,steel,sturdy,soundproof,,173,1495,13,60,52,168,47,138,30,1998240
rapidash,78,fire,,run-away,flash-fire,flame-body,175,950,17,65,100,70,80,80,105,2823057
purugly,432,normal,,thick-fat,own-tempo,defiant,158,438,10,71,82,64,64,59,112,3434490
poochyena,261,dark,,run-away,quick-feet,rattled,56,136,5,35,55,35,30,30,35,2589822
cinccino,573,normal,,cute-charm,technician,skill-link,165,75,5,75,95,60,65,60,115,3363191
garchomp,445,dragon,ground,sand-veil,rough-skin,,300,950,19,108,130,95,80,85,102,52978
seismitoad,537,water,ground,swift-swim,poison-touch,water-absorb,255,620,15,105,95,75,85,75,74,4862545
cinderace,815,fire,,blaze,libero,,265,330,14,80,116,75,65,75,119,3020544
sandshrew,27,ground,,sand-veil,sand-rush,,60,120,6,50,75,85,20,30,40,3762229
electabuzz,125,electric,,static,vital-spirit,,172,300,11,65,83,57,95,85,105,2452749
mawile,303,steel,fairy,hyper-cutter,intimidate,sheer-force,133,115,6,50,85,85,55,55,50,836365
crabrawler,739,fighting,,hyper-cutter,iron-fist,anger-point,68,70,6,47,82,57,42,47,63,2016603
nidorina,30,poison,,poison-point,rivalry,hustle,128,200,8,70,62,67,55,55,56,187199
delcatty,301,normal,,cute-charm,normalize,wonder-skin,140,326,11,70,65,65,55,55,90,4044367
dialga,483,steel,dragon,pressure,telepathy,,340,6830,54,100,120,120,150,100,90,6208317
tentacool,72,water,poison,clear-body,liquid-ooze,rain-dish,67,455,9,40,40,35,50,100,70,1236945
raichu,26,electric,,static,lightning-rod,,243,300,8,60,90,55,90,80,110,2423706
munna,517,psychic,,forewarn,synchronize,telepathy,58,233,6,76,25,45,67,55,24,4629189
vileplume,45,grass,poison,chlorophyll,effect-spore,,245,186,12,75,80,85,110,90,50,2780918
mantine,226,water,flying,swift-swim,water-absorb,water-veil,170,2200,21,85,40,70,80,140,70,3992358
charmander,4,fire,,blaze,solar-power,,62,85,6,39,52,43,60,50,65,4982094
victreebel,71,grass,poison,chlorophyll,gluttony,,221,155,17,80,105,65,100,70,70,4075680
cleffa,173,fairy,,cute-charm,magic-guard,friend-guard,44,30,3,50,25,28,45,55,15,424644
cramorant,845,flying,water,gulp-missile,,,166,180,8,70,85,55,85,95,85,5802568
ditto,132,normal,,limber,imposter,,101,40,3,48,48,48,48,48,48,2871214
psyduck,54,water,,damp,cloud-nine,swift-swim,64,196,8,50,52,48,65,50,55,5521523
gastrodon,423,water,ground,sticky-hold,storm-drain,sand-force,166,299,9,111,83,68,92,82,39,4425407
clawitzer,693,water,,mega-launcher,,,100,353,13,71,73,88,120,89,59,3405337
oricorio,,,,,,,,,,,,,,,,298332
hippowdon,450,ground,,sand-stream,sand-force,,184,3000,20,108,112,118,68,72,47,2812400
blipbug,824,bug,,swarm,compound-eyes,telepathy,36,80,4,25,20,20,25,45,45,5221562
vigoroth,288,normal,,vital-spirit,,,154,465,14,80,80,80,55,55,90,3718379
numel,322,fire,ground,oblivious,simple,own-tempo,61,240,7,60,60,40,65,45,35,4744837
raticate,20,normal,,run-away,guts,hustle,145,185,7,55,81,60,50,70,97,237448
steenee,762,grass,,leaf-guard,oblivious,sweet-veil,102,82,7,52,40,48,40,48,62,2332984
bergmite,712,ice,,own-tempo,ice-body,sturdy,61,995,10,55,69,85,32,35,28,5901066
dragalge,691,poison,dragon,poison-point,poison-touch,adaptability,173,815,18,65,75,90,97,123,44,2212041
chikorita,152,grass,,overgrow,leaf-guard,,64,64,9,45,49,65,49,65,45,4454330
riolu,447,fighting,,steadfast,inner-focus,prankster,57,202,7,40,70,40,35,40,60,4640572
arcanine,59,fire,,intimidate,flash-fire,justified,194,1550,19,90,110,80,100,80,95,2494908
stoutland,508,normal,,intimidate,sand-rush,scrappy,250,610,12,85,110,90,45,90,80,5979821
feebas,349,water,,swift-swim,oblivious,adaptability,40,74,6,20,15,20,10,55,80,2745091
electrode,101,electric,,soundproof,static,aftermath,172,666,12,60,50,70,80,80,150,427396
skrelp,690,poison,water,poison-point,poison-touch,adaptability,64,73,5,50,60,60,60,60,30,4413188
regice,378,ice,,clear-body,ice-body,,290,1750,18,80,50,100,100,200,50,269481
articuno,144,ice,flying,pressure,snow-cloak,,290,554,17,90,85,100,95,125,85,157149
pidgeot,18,normal,flying,keen-eye,tangled-feet,big-pecks,216,395,15,83,80,75,70,70,101,2057903
lampent,608,ghost,fire,flash-fire,flame-body,infiltrator,130,130,6,60,40,60,95,60,55,908955
xerneas,716,fairy,,fairy-aura,,,340,2150,30,126,131,95,131,98,99,471642
nickit,827,dark,,run-away,unburden,stakeout,49,89,6,40,28,28,47,52,50,111386
runerigus,867,ground,ghost,wandering-spirit,,,169,666,16,58,95,145,50,105,30,2876724
scolipede,545,bug,poison,poison-point,swarm,speed-boost,243,2005,25,60,100,89,55,69,112,226513
ledian,166,bug,flying,swarm,early-bird,iron-fist,137,356,14,55,35,50,55,110,85,3742420
jellicent,593,water,ghost,water-absorb,cursed-body,damp,168,1350,22,100,60,70,85,105,60,132221
breloom,286,grass,fighting,effect-spore,poison-heal,technician,161,392,12,60,130,80,60,60,70,516568
stunky,434,poison,dark,stench,aftermath,keen-eye,66,192,4,63,63,47,41,41,74,2843717
volbeat,313,bug,,illuminate,swarm,prankster,151,177,7,65,73,75,47,85,85,455679
pyroar,668,fire,normal,rivalry,unnerve,moxie,177,815,15,86,68,72,109,66,106,4060236
shuppet,353,ghost,,insomnia,frisk,cursed-body,59,23,6,44,75,35,63,33,45,1699666
simisear,514,fire,,gluttony,blaze,,174,280,10,75,98,63,98,63,101,2735671
ledyba,165,bug,flying,swarm,early-bird,rattled,53,108,10,40,20,30,40,80,55,2127018
drakloak,886,dragon,ghost,clear-body,infiltrator,cursed-body,144,110,14,68,80,50,60,50,102,4281031
simisage,512,grass,,gluttony,overgrow,,174,305,11,75,98,63,98,63,101,6394470
ekans,23,poison,,intimidate,shed-skin,unnerve,58,69,20,35,60,44,40,54,55,1856053
lunala,792,psychic,ghost,shadow-shield,,,340,1200,40,137,113,89,137,107,97,1369558
nidorino,33,poison,,poison-point,rivalry,hustle,128,195,9,61,72,57,55,55,65,699435
clobbopus,852,fighting,,limber,technician,,62,40,6,50,68,60,50,50,32,1881644
mimikyu,,,,,,,,,,,,,,,,2488102
mantyke,458,water,flying,swift-swim,water-absorb,water-veil,69,650,10,45,20,50,60,120,50,994638
sandaconda,844,ground,,sand-spit,shed-skin,sand-veil,179,655,38,72,107,125,65,70,71,5351489
reshiram,643,dragon,fire,turboblaze,,,340,3300,32,100,120,100,150,120,90,6238559
swanna,581,water,flying,keen-eye,big-pecks,hydration,166,242,13,75,87,63,87,63,98,5168322
roselia,315,grass,poison,natural-cure,poison-point,leaf-guard,140,20,3,50,60,45,100,80,65,2564693
copperajah,879,steel,,sheer-force,heavy-metal,,175,6500,30,122,130,69,80,69,30,2675305
minccino,572,normal,,cute-charm,technician,skill-link,60,58,4,55,50,40,40,40,75,3117550
scyther,123,bug,flying,swarm,technician,steadfast,100,560,15,70,110,80,55,80,105,1803711
enamorus,,,,,,,,,,,,,,,,2246689
phanpy,231,ground,,pickup,sand-veil,,66,335,5,90,60,60,40,40,40,2926656
silcoon,266,bug,,shed-skin,,,72,100,6,50,35,55,25,25,15,1785567
chespin,650,grass,,overgrow,bulletproof,,63,90,4,56,61,65,48,45,38,5217579
golduck,55,water,,damp,cloud-nine,swift-swim,175,766,17,80,82,78,95,80,85,4201907
magnezone,462,electric,steel,magnet-pull,sturdy,analytic,268,1800,12,70,70,115,130,90,60,2371405
excadrill,530,ground,steel,sand-rush,sand-force,mold-breaker,178,404,7,110,135,60,50,65,88,6382096
garbodor,569,poison,,stench,weak-armor,aftermath,166,1073,19,80,95,82,60,82,75,37252
hatenna,856,psychic,,healer,anticipation,magic-bounce,53,34,4,42,30,45,56,53,39,5474762
torterra,389,grass,ground,overgrow,shell-armor,,236,3100,22,95,109,105,75,85,56,1941916
silvally,773,normal,,rks-system,,,285,1005,23,95,95,95,95,95,95,5408756
flabebe,669,fairy,,flower-veil,symbiosis,,61,1,1,44,38,39,61,79,42,1362231
sableye,302,dark,ghost,keen-eye,stall,prankster,133,110,5,50,75,75,65,65,50,391595
snom,872,ice,bug,shield-dust,ice-scales,,37,38,3,30,25,35,45,30,20,513795
thwackey,811,grass,,overgrow,grassy-surge,,147,140,7,70,85,70,55,60,80,490733
monferno,391,fire,fighting,blaze,iron-fist,,142,220,9,64,78,52,78,52,81,5309457
bisharp,625,dark,steel,defiant,inner-focus,pressure,172,700,16,65,125,100,60,70,70,446417
quagsire,195,water,ground,damp,water-absorb,unaware,151,750,14,95,85,85,65,65,35,116465
spectrier,897,ghost,,grim-neigh,,,290,445,20,100,65,60,145,80,130,3669241
ampharos,181,electric,,static,plus,,230,615,14,90,75,85,115,90,55,4559455
carvanha,318,water,dark,rough-skin,speed-boost,,61,208,8,45,90,20,65,20,65,663459
haunter,93,ghost,poison,levitate,,,142,1,16,45,50,45,115,55,95,2394047
oshawott,501,water,,torrent,shell-armor,,62,59,5,55,55,45,63,45,45,5468791
sunflora,192,grass,,chlorophyll,solar-power,early-bird,149,85,8,75,75,55,105,85,30,4223687
moltres,146,fire,flying,pressure,flame-body,,290,600,20,90,100,90,125,85,90,1827914
shedinja,292,bug,ghost,wonder-guard,,,83,12,8,1,90,45,30,30,40,4394492
reuniclus,579,psychic,,overcoat,magic-guard,regenerator,245,201,10,110,65,75,125,85,30,3104113
eevee,133,normal,,run-away,adaptability,anticipation,65,65,3,55,55,50,45,65,55,216634
zorua,570,dark,,illusion,,,66,125,7,40,65,40,80,40,65,5633780
regigigas,486,normal,,slow-start,,,335,4200,37,110,160,110,80,110,100,2896178
lileep,345,rock,grass,suction-cups,storm-drain,,71,238,10,66,41,77,61,87,23,3735516
druddigon,621,dragon,,rough-skin,sheer-force,mold-breaker,170,1390,16,77,120,90,60,90,48,4090511
ponyta,77,fire,,run-away,flash-fire,flame-body,82,300,10,50,85,55,65,65,90,3579362
hippopotas,449,ground,,sand-stream,sand-force,,66,495,8,68,72,78,38,42,32,4595998
lugia,249,psychic,flying,pressure,multiscale,,340,2160,52,106,90,130,90,154,110,1669137
relicanth,369,water,rock,swift-swim,rock-head,sturdy,170,234,10,100,90,130,45,65,55,3162635
misdreavus,200,ghost,,levitate,,,87,10,7,60,60,60,85,85,85,3758528
growlithe,58,fire,,intimidate,flash-fire,justified,70,190,7,55,70,45,70,50,60,1365106
tynamo,602,electric,,levitate,,,55,3,2,35,55,40,45,40,60,4980515
raikou,243,electric,,pressure,inner-focus,,290,1780,19,90,85,75,115,100,115,5940529
wingull,278,water,flying,keen-eye,hydration,rain-dish,54,95,6,40,30,30,55,30,85,1008004
braviary,628,normal,flying,keen-eye,sheer-force,defiant,179,410,15,100,123,75,57,75,80,3766280
cubchoo,613,ice,,snow-cloak,slush-rush,rattled,61,85,5,55,70,40,60,40,40,5471740
archen,566,rock,flying,defeatist,,,71,95,5,55,112,45,74,45,70,1867183
beartic,614,ice,,snow-cloak,slush-rush,swift-swim,177,2600,26,95,130,80,70,80,50,3140487
buzzwole,794,bug,fighting,beast-boost,,,285,3336,24,107,139,139,53,53,79,4296975
exploud,295,normal,,soundproof,scrappy,,245,840,15,104,91,63,91,73,68,3286199
ambipom,424,normal,,technician,pickup,skill-link,169,203,12,75,100,66,60,66,115,4314860
meowth,52,normal,,pickup,technician,unnerve,58,42,4,40,45,35,40,40,90,4036596
tyrunt,696,rock,dragon,strong-jaw,sturdy,,72,260,8,58,89,77,45,45,48,888368
duskull,355,ghost,,levitate,frisk,,59,150,8,20,40,90,30,90,25,6051545
turtwig,387,grass,,overgrow,shell-armor,,64,102,4,55,68,64,45,55,31,2648817
barbaracle,689,rock,water,tough-claws,sniper,pickpocket,175,960,13,72,105,115,54,86,68,845925
chinchou,170,water,electric,volt-absorb,illuminate,water-absorb,66,120,5,75,38,38,56,56,67,191899
lairon,305,steel,rock,sturdy,rock-head,heavy-metal,151,1200,9,60,90,140,50,50,40,2182910
manaphy,490,water,,hydration,,,270,14,3,100,100,100,100,100,100,3806379
clefairy,35,fairy,,cute-charm,magic-guard,friend-guard,113,75,6,70,45,48,60,65,35,3339168
arrokuda,846,water,,swift-swim,propeller-tail,,56,10,5,41,63,40,40,30,66,5782469
furret,162,normal,,run-away,keen-eye,frisk,145,325,18,85,76,64,45,55,90,3030081
turtonator,776,fire,dragon,shell-armor,,,170,2120,20,60,78,135,91,85,36,6316341
leavanny,542,bug,grass,swarm,chlorophyll,overcoat,225,205,12,75,103,80,70,80,92,2756576
ferroseed,597,grass,steel,iron-barbs,,,61,188,6,44,50,91,24,86,10,3034460
salandit,757,poison,fire,corrosion,oblivious,,64,48,6,48,44,40,71,40,77,4462049
drizzile,817,water,,torrent,sniper,,147,115,7,65,60,55,95,55,90,2945191
woobat,527,psychic,flying,unaware,klutz,simple,65,21,4,65,45,43,55,43,72,80061
snubbull,209,fairy,,intimidate,run-away,rattled,60,78,6,60,80,50,40,40,30,2079264
metapod,11,bug,,shed-skin,,,72,99,7,50,20,55,25,25,30,2778870
yanmega,469,bug,flying,speed-boost,tinted-lens,frisk,180,515,19,86,76,86,116,56,95,1847396
indeedee,,,,,,,,,,,,,,,,1019803
grimer,88,poison,,stench,sticky-hold,poison-touch,65,300,9,80,80,50,40,50,25,3538907
donphan,232,ground,,sturdy,sand-veil,,175,1200,11,90,120,120,60,60,50,180543
venonat,48,bug,poison,compound-eyes,tinted-lens,run-away,61,300,10,60,55,50,40,55,45,2807366
incineroar,727,fire,dark,blaze,intimidate,,265,830,18,95,115,90,80,90,60,195206
corvisquire,822,flying,,keen-eye,unnerve,big-pecks,128,160,8,68,67,55,43,55,77,4085847
dottler,825,bug,psychic,swarm,compound-eyes,telepathy,117,195,4,50,35,80,50,90,30,3809911
zweilous,634,dark,dragon,hustle,,,147,500,14,72,85,70,65,70,58,2801512
gulpin,316,poison,,liquid-ooze,sticky-hold,gluttony,60,103,4,70,43,53,43,53,40,4991649
chansey,113,normal,,natural-cure,serene-grace,healer,395,346,11,250,5,5,35,105,50,5296427
phione,489,water,,hydration,,,216,31,4,80,80,80,80,80,80,6149024
vaporeon,134,water,,water-absorb,hydration,,184,290,10,130,65,60,110,95,65,5829811
onix,95,rock,ground,rock-head,sturdy,weak-armor,77,2100,88,35,45,160,30,45,70,4668242
luvdisc,370,water,,swift-swim,hydration,,116,87,6,43,30,55,40,65,97,5648329
litleo,667,fire,normal,rivalry,unnerve,moxie,74,135,6,62,50,58,73,54,72,1686595
decidueye,724,grass,ghost,overgrow,long-reach,,265,366,16,78,107,75,100,100,70,3922109
ivysaur,2,grass,poison,overgrow,chlorophyll,,142,130,10,60,62,63,80,80,60,2464443
weepinbell,70,grass,poison,chlorophyll,gluttony,,137,64,10,65,90,50,85,45,55,1405055
stunfisk,618,ground,electric,static,limber,sand-veil,165,110,7,109,66,84,81,99,32,3258287
azumarill,184,water,fairy,thick-fat,huge-power,sap-sipper,210,285,8,100,50,80,60,80,50,2530491
